9:25 20.19 65338 3049 
9:30 20.2 25204 1462 S
9:30 20.26 18539 1260 B
9:30 20.47 6930 647 B
9:30 20.45 9694 698 B
9:30 20.38 4863 238 S
9:30 20.38 2749 200 S
9:30 20.33 2912 166 S
9:30 20.32 2990 164 B
9:30 20.25 2681 193 S
9:30 20.24 2377 184 S
9:30 20.21 4327 292 S
9:30 20.19 18468 1024 S
9:30 20.19 8061 458 S
9:30 20.18 4812 189 S
9:30 20.16 4351 186 S
9:30 20.14 2413 210 S
9:30 20.12 4209 281 S
9:30 20.15 1957 218 B
9:30 20.17 2387 209 B
9:31 20.15 5507 355 B
9:31 20.14 2309 197 S
9:31 20.17 3026 179 B
9:31 20.18 2882 186 B
9:31 20.25 4658 361 B
9:31 20.31 1723 102 B
9:31 20.25 1722 101 S
9:31 20.3 2376 125 B
9:31 20.33 3242 194 B
9:31 20.19 9365 284 S
9:31 20.3 2967 167 B
9:31 20.25 1629 131 S
9:31 20.29 1784 102 B
9:31 20.28 2687 226 
9:31 20.29 1613 169 B
9:31 20.29 2869 209 S
9:31 20.25 2302 197 S
9:31 20.2 4839 169 S
9:31 20.22 4722 132 S
9:31 20.25 4831 170 B
9:32 20.2 1397 140 S
9:32 20.18 3453 173 S
9:32 20.23 1619 178 B
9:32 20.19 4044 192 B
9:32 20.18 3316 213 B
9:32 20.18 1285 120 S
9:32 20.16 2181 206 S
9:32 20.13 3279 247 S
9:32 20.18 2328 142 B
9:32 20.16 1594 120 S
9:32 20.16 2875 171 S
9:32 20.17 1949 94 B
9:32 20.16 1004 122 S
9:32 20.15 1865 136 B
9:32 20.12 1405 100 S
9:32 20.12 2335 150 B
9:32 20.11 2583 213 S
9:32 20.08 1805 134 S
9:32 20.08 1916 67 S
9:32 20.07 1491 121 S
9:33 20.03 4353 214 S
9:33 20.03 2039 127 B
9:33 20 3485 291 S
9:33 20 5308 356 S
9:33 19.99 4657 272 S
9:33 19.97 790 86 S
9:33 19.97 741 79 S
9:33 19.95 1503 127 S
9:33 19.93 1638 109 S
9:33 19.9 1418 92 S
9:33 19.88 1042 65 B
9:33 19.91 2701 208 B
9:33 19.86 2836 213 S
9:33 19.84 1750 143 S
9:33 19.87 2240 154 S
9:33 19.9 2671 196 B
9:33 19.87 3114 233 S
9:33 19.88 2381 190 B
9:33 19.92 3288 220 B
9:33 19.91 3410 160 S
9:34 19.93 2412 131 B
9:34 19.89 3595 216 S
9:34 19.93 3321 262 B
9:34 19.89 2014 159 S
9:34 19.9 2266 193 
9:34 19.89 1214 151 S
9:34 19.91 2827 162 B
9:34 19.91 2191 155 S
9:34 19.9 2162 186 S
9:34 19.86 3186 236 S
9:34 19.86 1433 106 S
9:34 19.84 1852 135 S
9:34 19.82 968 85 S
9:34 19.81 2439 151 S
9:34 19.81 1146 81 S
9:34 19.8 1826 196 S
9:34 19.77 567 73 S
9:34 19.8 3062 178 B
9:34 19.75 2058 62 S
9:34 19.7 2289 125 S
9:35 19.74 2646 83 B
9:35 19.75 1891 155 B
9:35 19.75 4087 195 S
9:35 19.78 5480 329 B
9:35 19.8 6206 312 B
9:35 19.81 2833 192 B
9:35 19.81 1454 140 B
9:35 19.84 2726 191 B
9:35 19.83 1495 136 
9:35 19.86 1060 97 B
9:35 19.85 1349 119 S
9:35 19.86 1088 91 
9:35 19.88 755 83 B
9:35 19.89 1337 157 B
9:35 19.89 1022 168 B
9:35 19.9 1709 152 B
9:35 19.91 1551 96 B
9:35 19.91 1544 187 B
9:35 19.91 1209 131 S
9:35 19.91 1101 146 S
9:36 19.93 2734 217 B
9:36 19.92 973 101 S
9:36 19.95 1111 133 B
9:36 19.94 831 115 S
9:36 19.97 2543 214 B
9:36 19.97 721 80 S
9:36 19.97 1505 165 B
9:36 19.97 1761 183 B
9:36 19.99 1971 237 B
9:36 19.98 1456 147 S
9:36 19.99 1050 130 B
9:36 19.99 1055 146 S
9:36 20 3942 237 B
9:36 20 1318 129 S
9:36 19.99 1806 175 S
9:36 19.99 2193 167 B
9:36 19.95 2835 232 S
9:36 19.97 2455 195 B
9:36 19.98 1438 105 B
9:36 19.95 829 101 S
9:37 19.93 1659 196 S
9:37 19.94 2103 169 B
9:37 19.9 1877 163 S
9:37 19.9 2911 236 S
9:37 19.87 2410 186 S
9:37 19.86 1453 102 S
9:37 19.84 1950 145 S
9:37 19.82 1789 103 S
9:37 19.83 638 65 S
9:37 19.8 1048 115 S
9:37 19.81 566 38 B
9:37 19.8 2624 225 S
9:37 19.8 995 112 B
9:37 19.8 1105 96 B
9:37 19.77 556 62 S
9:37 19.77 794 71 B
9:37 19.76 1444 112 S
9:37 19.77 2420 190 B
9:37 19.75 999 93 S
9:37 19.75 1038 77 B
9:38 19.74 1754 133 S
9:38 19.74 2190 169 S
9:38 19.73 4138 213 S
9:38 19.79 2163 149 B
9:38 19.77 3565 213 S
9:38 19.82 2745 171 B
9:38 19.82 1615 107 B
9:38 19.82 616 40 S
9:38 19.83 1027 92 B
9:38 19.84 1250 114 B
9:38 19.85 1195 69 B
9:38 19.89 423 65 B
9:38 19.88 562 76 S
9:38 19.9 562 58 B
9:38 19.9 454 48 S
9:38 19.92 429 57 B
9:38 19.92 2118 105 S
9:38 19.93 607 72 B
9:38 19.92 3288 139 S
9:38 19.93 933 75 B
9:39 19.93 1551 118 S
9:39 19.94 1222 97 B
9:39 19.94 1315 92 B
9:39 19.95 805 42 B
9:39 19.95 681 35 S
9:39 19.95 763 54 S
9:39 19.98 1574 124 B
9:39 19.97 1040 80 S
9:39 19.98 472 34 
9:39 19.99 938 64 B
9:39 19.99 3587 202 B
9:39 20 4239 229 B
9:39 20.01 609 49 B
9:39 20.01 664 61 B
9:39 20.03 1085 80 B
9:39 20.05 356 44 B
9:39 20.06 461 46 B
9:39 20.06 1344 111 B
9:39 20.1 423 41 B
9:39 20.09 573 63 S
9:40 20.1 1439 152 B
9:40 20.1 1592 164 B
9:40 20.11 1397 140 S
9:40 20.13 1711 84 B
9:40 20.13 657 47 B
9:40 20.13 4368 240 S
9:40 20.13 974 104 B
9:40 20.11 1973 165 S
9:40 20.12 2355 140 B
9:40 20.09 1590 137 S
9:40 20.12 2491 149 B
9:40 20.07 3268 196 S
9:40 20.09 713 85 B
9:40 20.09 1477 99 B
9:40 20.07 1933 132 S
9:40 20.09 826 97 B
9:40 20.1 765 89 B
9:40 20.09 767 85 S
9:40 20.09 1500 75 S
9:40 20.1 1606 116 B
9:41 20.09 1817 145 S
9:41 20.12 2287 167 B
9:41 20.11 1128 109 S
9:41 20.1 718 63 S
9:41 20.09 1520 138 S
9:41 20.1 760 80 B
9:41 20.08 743 53 
9:41 20.08 1236 79 B
9:41 20.08 696 83 S
9:41 20.08 1205 61 S
9:41 20.1 1525 93 B
9:41 20.08 1135 74 S
9:41 20.08 720 79 B
9:41 20.1 779 42 B
9:41 20.08 876 82 S
9:41 20.1 411 60 B
9:41 20.08 603 61 S
9:41 20.09 1107 92 B
9:41 20.1 1624 79 B
9:41 20.08 455 52 S
9:42 20.08 775 54 S
9:42 20.07 495 61 S
9:42 20.08 1456 110 B
9:42 20.07 571 80 S
9:42 20.05 415 53 S
9:42 20.07 1147 81 B
9:42 20.04 463 52 S
9:42 20.05 906 86 B
9:42 20.05 1020 76 B
9:42 20.02 744 65 S
9:42 20.06 587 59 B
9:42 20.05 697 77 S
9:42 20.07 418 46 B
9:42 20.04 291 54 S
9:42 20.04 411 40 S
9:42 20.04 222 42 B
9:42 20.03 772 58 
9:42 20.07 1459 111 B
9:42 20.04 667 52 S
9:42 20.04 458 43 S
9:43 20.05 862 53 B
9:43 20.05 1029 49 S
9:43 20 4680 257 S
9:43 20.04 830 67 B
9:43 20.02 297 27 
9:43 20.02 834 60 B
9:43 20.01 323 60 S
9:43 20.02 279 50 B
9:43 20.01 299 46 
9:43 20 772 55 S
9:43 20 815 59 B
9:43 19.99 564 67 
9:43 20 1306 106 B
9:43 19.96 1735 142 S
9:43 19.97 108 22 B
9:43 20.01 768 70 B
