  	B:  9.3391053E8
  	S:  7.0156474E8
  	早盘竞价交易:  8203060.0
  	尾盘竞价交易:  1.6145314E7
  	不明交易:  2480105.0
  	总计:1.66230362E9
  	均价:3.9768639

 	 价格：4.0  	 小计：1.31768E8
 	 价格：3.99  	 小计：1.1810088E8
 	 价格：4.01  	 小计：1.17708088E8
 	 价格：4.11  	 小计：1.05984528E8
 	 价格：3.98  	 小计：1.01985512E8
 	 价格：3.88  	 小计：9.924848E7
 	 价格：4.02  	 小计：9.5601176E7
 	 价格：3.97  	 小计：8.3559024E7
 	 价格：3.85  	 小计：7.8428728E7
 	 价格：4.09  	 小计：6.8049048E7
 	 价格：4.1  	 小计：5.5750168E7
 	 价格：3.87  	 小计：5.3883928E7
 	 价格：3.96  	 小计：5.3598996E7
 	 价格：4.03  	 小计：5.2314288E7
 	 价格：3.86  	 小计：4.8769168E7
 	 价格：3.89  	 小计：4.791586E7
 	 价格：3.9  	 小计：4.5039928E7
 	 价格：3.84  	 小计：4.2585984E7
 	 价格：4.08  	 小计：4.0096608E7
 	 价格：4.04  	 小计：3.8636944E7
 	 价格：3.91  	 小计：3.4913964E7
 	 价格：4.05  	 小计：3.294353E7
 	 价格：4.06  	 小计：2.8022932E7
 	 价格：3.95  	 小计：1.705847E7
 	 价格：4.07  	 小计：1.6922248E7
 	 价格：3.93  	 小计：1.2578358E7
 	 价格：3.8  	 小计：1.029306E7
 	 价格：3.82  	 小计：9903350.0
 	 价格：3.83  	 小计：8035340.0
 	 价格：3.94  	 小计：6367828.0
 	 价格：3.92  	 小计：6240640.0

	 时间-14:53	 价格-4.11	 笔数-59641  	 交易帐户数（假想）-1374	 被动买还是主动买-B	 小计-2.4512452E7
	 时间-15:00	 价格-4.11	 笔数-39283  	 交易帐户数（假想）-567	 被动买还是主动买-尾盘竞价交易	 小计-1.6145314E7
	 时间-14:53	 价格-4.11	 笔数-27032  	 交易帐户数（假想）-604	 被动买还是主动买-B	 小计-1.1110152E7
	 时间-9:30	 价格-3.82	 笔数-25925  	 交易帐户数（假想）-263	 被动买还是主动买-B	 小计-9903350.0
	 时间-9:56	 价格-3.91	 笔数-24758  	 交易帐户数（假想）-499	 被动买还是主动买-B	 小计-9680378.0
	 时间-9:59	 价格-3.93	 笔数-21924  	 交易帐户数（假想）-393	 被动买还是主动买-B	 小计-8616132.0
	 时间-10:02	 价格-3.99	 笔数-21097  	 交易帐户数（假想）-228	 被动买还是主动买-B	 小计-8417703.0
	 时间-9:25	 价格-3.8	 笔数-21587  	 交易帐户数（假想）-521	 被动买还是主动买-早盘竞价交易	 小计-8203060.0
	 时间-13:59	 价格-4.05	 笔数-18533  	 交易帐户数（假想）-575	 被动买还是主动买-B	 小计-7505865.5
	 时间-9:30	 价格-3.83	 笔数-16868  	 交易帐户数（假想）-408	 被动买还是主动买-B	 小计-6460444.0
	 时间-10:00	 价格-3.95	 笔数-16256  	 交易帐户数（假想）-311	 被动买还是主动买-B	 小计-6421120.0
	 时间-10:00	 价格-3.94	 笔数-16162  	 交易帐户数（假想）-286	 被动买还是主动买-B	 小计-6367828.0
	 时间-10:02	 价格-4.02	 笔数-15786  	 交易帐户数（假想）-171	 被动买还是主动买-B	 小计-6345972.0
	 时间-14:00	 价格-4.09	 笔数-13851  	 交易帐户数（假想）-252	 被动买还是主动买-S	 小计-5665059.5
