  	B:  3.80731552E8
  	S:  2.61471872E8
  	早盘竞价交易:  8373456.0
  	尾盘竞价交易:  5140640.0
  	不明交易:  632497.0
  	总计:6.5635002E8
  	均价:3.7978845

 	 价格：3.79  	 小计：1.647588E8
 	 价格：3.8  	 小计：1.42541904E8
 	 价格：3.81  	 小计：9.0585368E7
 	 价格：3.78  	 小计：7.5732256E7
 	 价格：3.82  	 小计：5.76506E7
 	 价格：3.77  	 小计：4.1808548E7
 	 价格：3.83  	 小计：2.9846784E7
 	 价格：3.84  	 小计：2.848896E7
 	 价格：3.76  	 小计：1.5395696E7
 	 价格：3.75  	 小计：8680125.0
 	 价格：3.85  	 小计：859705.0

	 时间-9:25	 价格-3.78	 笔数-22152  	 交易帐户数（假想）-304	 被动买还是主动买-早盘竞价交易	 小计-8373456.0
	 时间-11:00	 价格-3.84	 笔数-19390  	 交易帐户数（假想）-424	 被动买还是主动买-B	 小计-7445760.0
	 时间-10:50	 价格-3.82	 笔数-13547  	 交易帐户数（假想）-219	 被动买还是主动买-B	 小计-5174954.0
	 时间-15:00	 价格-3.8	 笔数-13528  	 交易帐户数（假想）-372	 被动买还是主动买-尾盘竞价交易	 小计-5140640.0
	 时间-10:30	 价格-3.81	 笔数-12909  	 交易帐户数（假想）-237	 被动买还是主动买-B	 小计-4918329.0
	 时间-9:32	 价格-3.81	 笔数-12819  	 交易帐户数（假想）-175	 被动买还是主动买-B	 小计-4884039.0
	 时间-10:08	 价格-3.79	 笔数-11410  	 交易帐户数（假想）-185	 被动买还是主动买-B	 小计-4324390.0
	 时间-10:50	 价格-3.81	 笔数-11334  	 交易帐户数（假想）-121	 被动买还是主动买-B	 小计-4318254.0
	 时间-10:51	 价格-3.81	 笔数-11273  	 交易帐户数（假想）-92	 被动买还是主动买-S	 小计-4295013.0
	 时间-9:59	 价格-3.76	 笔数-11376  	 交易帐户数（假想）-229	 被动买还是主动买-S	 小计-4277376.0
	 时间-10:50	 价格-3.8	 笔数-10863  	 交易帐户数（假想）-152	 被动买还是主动买-B	 小计-4127939.8
	 时间-11:00	 价格-3.84	 笔数-10166  	 交易帐户数（假想）-179	 被动买还是主动买-B	 小计-3903743.8
	 时间-10:30	 价格-3.79	 笔数-9676  	 交易帐户数（假想）-198	 被动买还是主动买-B	 小计-3667204.0
	 时间-9:40	 价格-3.8	 笔数-9608  	 交易帐户数（假想）-184	 被动买还是主动买-S	 小计-3651039.8
	 时间-9:30	 价格-3.79	 笔数-9569  	 交易帐户数（假想）-249	 被动买还是主动买-B	 小计-3626650.8
