  	B:  1.681944E8
  	S:  2.06337456E8
  	早盘竞价交易:  1.2618246E7
  	尾盘竞价交易:  3921852.0
  	不明交易:  338246.0
  	总计:3.91410176E8

 	 价格：4.38  	 小计：7.2732224E7
 	 价格：4.4  	 小计：5.403552E7
 	 价格：4.39  	 小计：5.2020576E7
 	 价格：4.37  	 小计：4.4548592E7
 	 价格：4.45  	 小计：3.141164E7
 	 价格：4.41  	 小计：2.730006E7
 	 价格：4.44  	 小计：2.124762E7
 	 价格：4.43  	 小计：1.8343732E7
 	 价格：4.49  	 小计：1.6731535E7
 	 价格：4.42  	 小计：1.2677002E7
 	 价格：4.48  	 小计：1.2589696E7
 	 价格：4.46  	 小计：1.1447036E7
 	 价格：4.47  	 小计：8380356.0
 	 价格：4.36  	 小计：7944792.0

	 时间-9:25	 价格-4.49	 笔数-28103  	 交易帐户数（假想）-383	 被动买还是主动买-早盘竞价交易	 小计-1.2618246E7
	 时间-14:42	 价格-4.38	 笔数-9984  	 交易帐户数（假想）-182	 被动买还是主动买-B	 小计-4372992.0
	 时间-14:04	 价格-4.39	 笔数-9652  	 交易帐户数（假想）-94	 被动买还是主动买-B	 小计-4237227.5
	 时间-9:30	 价格-4.48	 笔数-9374  	 交易帐户数（假想）-197	 被动买还是主动买-S	 小计-4199552.0
	 时间-9:55	 价格-4.43	 笔数-9125  	 交易帐户数（假想）-146	 被动买还是主动买-S	 小计-4042375.0
	 时间-14:15	 价格-4.37	 笔数-9030  	 交易帐户数（假想）-126	 被动买还是主动买-S	 小计-3946109.8
	 时间-15:00	 价格-4.38	 笔数-8954  	 交易帐户数（假想）-185	 被动买还是主动买-尾盘竞价交易	 小计-3921852.0
	 时间-9:30	 价格-4.47	 笔数-7529  	 交易帐户数（假想）-144	 被动买还是主动买-S	 小计-3365463.0
	 时间-13:54	 价格-4.38	 笔数-7204  	 交易帐户数（假想）-85	 被动买还是主动买-S	 小计-3155352.2
	 时间-13:06	 价格-4.39	 笔数-6402  	 交易帐户数（假想）-145	 被动买还是主动买-S	 小计-2810478.0
	 时间-14:02	 价格-4.38	 笔数-6290  	 交易帐户数（假想）-59	 被动买还是主动买-S	 小计-2755020.0
